city,district,cold_price,object_age,flat_area,room_count,distance_to_centre
Hamburg,Lokstedt,900,,65,3,1.178942642
Hamburg Altona-Nord,Altona-Altstadt,2980,23,155,4,
Hamburg,Wilhelmsburg,820,,48,2,3.216281267
Hamburg,Lokstedt,600,,45,2.5,1.4904823
Hamburg,Ottensen,1058,,65,3,3.655519431
Hamburg,St. Pauli,650,,80,3,4.472928158
Hamburg,Ottensen,960,,65,3,2.625988529
Hamburg,Eimsbüttel,689,,40,1,0.822307851
Hamburg,St. Pauli,720,,31,1,5.026631405
Hamburg,Ottensen,1790,,106,3,1.965809305
Hamburg,Ottensen,650,,65,2.5,6.023187551
Hamburg,Wilhelmsburg,900,,65,3,1.485479752
Hamburg,Altona-Altstadt,1700,,96,4.5,4.852068038
Hamburg,Altona-Nord,1129.22,4,62.25,2,0.343593389
Hamburg,Ottensen,5500,19,151,3,5.270138362
Hamburg,Waltershof,400,,32,1,0.49664947
Hamburg,Alsterdorf,750,,55,2,1.1525808
Hamburg,Altona-Nord,2307.85,,137.14,5.5,0.255033325
Hamburg,Bahrenfeld,1200,,76,3,4.828550153
Hamburg,Wilhelmsburg,1350,,63,2,2.420890596
Hamburg,Sternschanze,2148,8,78,2,0.477844695
Hamburg,Ottensen,840,,62,2,6.157358611
Hamburg,Ottensen,1500,10,79,2,5.424844748
Hamburg,Wilhelmsburg,820,,52,2.5,4.174786621
Hamburg,Waltershof,1100,,55,2.5,1.282241212
Hamburg,Altona-Nord,470,,45,2,5.391341871
Hamburg,Sternschanze,1350,,76,3,4.666128352
Hamburg,Sternschanze,1000,,75,3.5,3.750058925
Hamburg,Altona-Nord,680,,48,2,5.540425126
Hamburg,Stellingen,960,,68,3,1.450727794
Hamburg,Othmarschen,1000,,75,2,5.729240451
Hamburg,Altona-Nord,600,,50,2.5,5.98773577
Hamburg,Neustadt,1450,,91,3,4.124205756
Hamburg,Eimsbüttel,1135,1,53.2,2,0.793554962
Hamburg,Winterhude,1080,,75,3,0.28540485
Hamburg,Bahrenfeld,1602.5,0,64,3,1.764449733
Hamburg,Bahrenfeld,1400,0,57.3,2,7.614870966
Hamburg,Bahrenfeld,1780.8,0,74.2,3,1.764449733
Hamburg,Bahrenfeld,1090.8,0,40,2,1.764449733
