city,district,latitude,longitude,geohash,cold_price,currency,object_age,flat_area,room_count,distance_to_centre
Buxtehude,Buxtehude,53.469269,9.680751,u1wbhmc31f5j,840,EUR,,67,2.5,0.51805754
Hamburg,Bergedorf,53.480614,10.234327,u1x20zu7jj53,1135,EUR,96,87.8,2,1.646110979
Wentorf bei Hamburg,Mühlenstrasse,53.485329,10.242408,u1x230dq97uz,2400,EUR,42,159,4,0.064868553
Hamburg,Wohldorf-Ohlstedt,53.696133,10.141706,u1x1qz0fwusj,750,EUR,30,64,2,0.972492276
Buxtehude,Hedendorf,53.519348,9.589566,u1wb6nyuv1dd,600,EUR,58,66,2.5,4.627196722
Buxtehude,Hedendorf,53.494734,9.590566,u1wb64rtkmhq,378,EUR,50,43,2,2.393025132
Moisburg,Moisburg,53.376351,9.733721,u1qztkzgu1h2,590,EUR,70,73.84,2,4.092269117
Buchholz in der Nordheide,Buchholz,53.327511,9.876765,u1rp2gbp329f,875.82,EUR,45,79.62,2,0.370480469
Dollern,,53.567249,9.49865,u1wb8pseydfy,690,EUR,,86,4,36.74801209
Hollern-Twielenfleth,,53.544453,9.609426,u1wbdemr5c7r,910,EUR,1,70.33,2,30.1376219
Hollern-Twielenfleth,,53.623858,9.597933,u1wc43vj859s,1110,EUR,1,94.85,4,38.01484838
Winsen (Luhe),Winsen,53.308878,10.165755,u1rpr2d6xr07,950,EUR,49,105,4,5.715636793
Winsen (Luhe),Winsen,53.425077,10.24971,u1rrcjxxes1t,1100,EUR,49,123,5,8.418462804
Jesteburg,Jesteburg,53.258797,10.000729,u1rngx6qczk5,1600,EUR,5,90.99,2,6.216952694
Jesteburg,Jesteburg,53.309696,9.957911,u1rp68epkpse,1600,EUR,5,90.99,2,0.130132728
Jesteburg,Jesteburg,53.309696,9.957911,u1rp68epkpse,1350,EUR,5,113,4,0.130132728
Jesteburg,Jesteburg,53.259585,9.990262,u1rngrdetfpr,1350,EUR,5,113,4,5.849707539
Henstedt-Ulzburg,,53.729091,10.020096,u1x1sj06tht0,950,EUR,51,90,3,46.94453782
Hollern-Twielenfleth,,53.579642,9.5159,u1wbb9ck091q,740,EUR,50,114.33,3,42.02449298
Winsen (Luhe),Winsen,53.359138,10.210164,u1rr83dzd060,940,EUR,22,79.7,3,0.64221058
Elmshorn,Von-Aspern-Str. 3,53.733009,9.67149,u1wcsjf96nce,990,EUR,28,110.09,3,0.072187036
Elmshorn,,53.732445,9.701537,u1wcsv8qnjwr,580,EUR,70,60.55,2,2.047842036
Elmshorn,,53.774899,9.654563,u1wcgtqjrxez,795,EUR,34,83.71,3,4.755424466
Elmshorn,Holstenplatz 6,53.754963,9.657724,u1wcgcb9372u,635,EUR,58,60.14,2,0.02123685
Elmshorn,Holstenplatz 6,53.754963,9.657724,u1wcgcb9372u,635,EUR,58,60.14,2,0.02123685
Elmshorn,,53.727588,9.591024,u1wcdhzczh3f,545,EUR,,57.65,2.5,5.318105491
Stade,Stade,53.643233,9.542213,u1wc1jkqmxmt,840,EUR,0,55.77,2.5,6.536456269
Stade,Stade,53.597572,9.483379,u1w8zv1s6xxf,450,EUR,21,49.63,2,0.579333156
Stade,Stade,53.547249,9.518875,u1wb8egrmfew,490,EUR,28,50,2,6.508683953
Harsefeld,Harsefeld,53.455791,9.498996,u1wb05kfw9sy,565,EUR,30,65,2,0.63447785
Stade,Stade,53.568402,9.530836,u1wb8zu4s9fk,360,EUR,6,31.6,1,5.055378596
